uid	code	category	long_description	short_description
900079	F6		Right hand, second digit	Right hand, second digit
900080	F7		Right hand, third digit	Right hand, third digit
900081	F8		Right hand, fourth digit	Right hand, fourth digit
900082	F9		Right hand, fifth digit	Right hand, fifth digit
900083	FA		Left hand, thumb	Left hand, thumb
900084	FB		Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)	Item provided without cost
900085	FC		Partial credit received for replaced device	Part credit, replaced device
900086	FP		Service provided as part of family planning program	Svc part of family plan pgm
900087	FX		X-ray taken using film	X-ray taken using film
900088	FY		X-ray taken using computed radiography technology/cassette-based imaging	Computed radiography x-ray
900089	G0		Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke	Telestroke
900090	G1		Most recent urr reading of less than 60	Urr reading of less than 60
900091	G2		Most recent urr reading of 60 to 64.9	Urr reading of 60 to 64.9
900092	G3		Most recent urr reading of 65 to 69.9	Urrreading of 65 to 69.9
900093	G4		Most recent urr reading of 70 to 74.9	Urr reading of 70 to 74.9
900094	G5		Most recent urr reading of 75 or greater	Urr reading of 75 or greater
900095	G6		Esrd patient for whom less than six dialysis sessions have been provided in a month	Esrd patient <6 dialysis/mth
900096	G7		Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening	Payment limits do not apply
900097	G8		Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure	Monitored anesthesia care
900098	G9		Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition	Mac for at risk patient
900099	GA		Waiver of liability statement issued as required by payer policy, individual case	Liability waiver ind case
900100	GB		Claim being re-submitted for payment because it is no longer covered under a global payment demonstration	Claim resubmitted
900101	GC		This service has been performed in part by a resident under the direction of a teaching physician	Resident/teaching phys serv
900102	GD		Units of service exceeds medically unlikely edit value and represents reasonable and necessary services	Unit of service > mue value
900103	GE		This service has been performed by a resident without the presence of a teaching physician under the primary care exception	Resident prim care exception
900104	GF		Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital	Nonphysician serv c a hosp
900105	GG		Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day	Payment screen mam + diagmam
900106	GH		Diagnostic mammogram converted from screening mammogram on same day	Diag mammo to screening mamo
900107	GJ		"opt out" physician or practitioner emergency or urgent service	Opt out provider of er srvc
900108	GK		Reasonable and necessary item/service associated with a ga or gz modifier	Actual item/service ordered
900109	GL		Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)	Upgraded item, no charge
900110	GM		Multiple patients on one ambulance trip	Multiple transports
900111	GN		Services delivered under an outpatient speech language pathology plan of care	Op speech language service
900112	GO		Services delivered under an outpatient occupational therapy plan of care	Op occupational therapy serv
900113	GP		Services delivered under an outpatient physical therapy plan of care	Op pt services
900114	GQ		Via asynchronous telecommunications system	Telehealth store and forward
900115	GR		This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy	Service by va resident
900116	GS		Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level	Epo/darbepoietin reduced 25%
900117	GT		Via interactive audio and video telecommunication systems	Interactivetelecommunication
900118	GU		Waiver of liability statement issued as required by payer policy, routine notice	Liability waiver rout notice
900119	KO		Single drug unit dose formulation	Single drug unit dose form
900120	GV		Attending physician not employed or paid under arrangement by the patient's hospice provider	Attending phys not hospice
900121	GW		Service not related to the hospice patient's terminal condition	Service unrelated to term co
900122	GX		Notice of liability issued, voluntary under payer policy	Voluntary liability notice
900123	GY		Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit	Statutorily excluded
900124	GZ		Item or service expected to be denied as not reasonable and necessary	Not reasonable and necessary
900125	H9		Court-ordered	Court-ordered
900126	HA		Child/adolescent program	Child/adolescent program
900127	HB		Adult program, non geriatric	Adult program non-geriatric
900128	HC		Adult program, geriatric	Adult program geriatric
900129	HD		Pregnant/parenting women's program	Pregnant/parenting program
900130	HE		Mental health program	Mental health program
900131	HF		Substance abuse program	Substance abuse program
900132	HG		Opioid addiction treatment program	Opioid addiction tx program
900133	HH		Integrated mental health/substance abuse program	Mental hlth/substance abs pr
900134	HI		Integrated mental health and intellectual disability/developmental disabilities program	Men hlth intel/dev disab pgm
900135	HJ		Employee assistance program	Employee assistance program
900136	HK		Specialized mental health programs for high-risk populations	Spec hgh rsk mntl hlth pop p
900137	HL		Intern	Intern
900138	HM		Less than bachelor degree level	Less than bachelor degree lv
900139	HN		Bachelors degree level	Bachelors degree level
900140	HO		Masters degree level	Masters degree level
900141	HP		Doctoral level	Doctoral level
900142	HQ		Group setting	Group setting
900143	HR		Family/couple with client present	Family/couple w client prsnt
900144	HS		Family/couple without client present	Family/couple w/o client prs
900145	HT		Multi-disciplinary team	Multi-disciplinary team
900146	HU		Funded by child welfare agency	Child welfare agency funded
900147	HV		Funded state addictions agency	Funded state addiction agncy
900148	HW		Funded by state mental health agency	State mntl hlth agncy funded
900149	HX		Funded by county/local agency	County/local agency funded
900150	HY		Funded by juvenile justice agency	Funded by juvenile justice
900151	HZ		Funded by criminal justice agency	Criminal justice agncy fund
900152	J1		Competitive acquisition program no-pay submission for a prescription number	Cap no-pay for prescript num
900153	J2		Competitive acquisition program, restocking of emergency drugs after emergency administration	Cap restock of emerg drugs
900154	J3		Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology	Cap drug unavail thru cap
900155	J4		Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge	Dmepos comp bid furn by hosp
900156	JA		Administered intravenously	Administered intravenously
900157	JB		Administered subcutaneously	Administered subcutaneously
900158	JC		Skin substitute used as a graft	Skin substitute graft
900159	JD		Skin substitute not used as a graft	Skin sub not used as a graft
900160	JE		Administered via dialysate	Administered via dialysate
900161	JF		Compounded drug	Compounded drug
900162	JG		Drug or biological acquired with 340b drug pricing program discount	340b acquired drug
900163	JW		Drug amount discarded/not administered to any patient	Discarded drug not administe
900164	K0		Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.	Lwr ext prost functnl lvl 0
900165	K1		Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.	Lwr ext prost functnl lvl 1
900166	K2		Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.typical of the limited community ambulator.	Lwr ext prost functnl lvl 2
900167	K3		Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.	Lwr ext prost functnl lvl 3
900168	K4		Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.	Lwr ext prost functnl lvl 4
900169	KA		Add on option/accessory for wheelchair	Wheelchair add-on option/acc
900170	KB		Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim	>4 modifiers on claim
900171	KC		Replacement of special power wheelchair interface	Repl special pwr wc intrface
900172	KD		Drug or biological infused through dme	Drug/biological dme infused
900173	KE		Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment	Bid under round 1 dmepos cb
900174	KF		Item designated by fda as class iii device	Fda class iii device
900175	KG		Dmepos item subject to dmepos competitive bidding program number 1	Dmepos comp bid prgm no 1
900176	KH		Dmepos item, initial claim, purchase or first month rental	Dmepos ini clm, pur/1 mo rnt
900177	KI		Dmepos item, second or third month rental	Dmepos 2nd or 3rd mo rental
900178	KJ		Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen	Dmepos pen pmp or 4-15mo rnt
900179	KK		Dmepos item subject to dmepos competitive bidding program number 2	Dmepos comp bid prgm no 2
900180	KL		Dmepos item delivered via mail	Dmepos mailorder comp bid
900181	KM		Replacement of facial prosthesis including new impression/moulage	Rplc facial prosth new imp
900182	KN		Replacement of facial prosthesis using previous master model	Rplc facial prosth old mod
900183	338	1		Neck
900184	KP		First drug of a multiple drug unit dose formulation	First drug of multi drug u d
900185	KQ		Second or subsequent drug of a multiple drug unit dose formulation	2nd/subsqnt drg multi drg ud
900186	KR		Rental item, billing for partial month	Rental item partial month
900187	KS		Glucose monitor supply for diabetic beneficiary not treated with insulin	Glucose monitor supply
900188	KT		Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item	Item from noncontract supply
900189	KU		Dmepos item subject to dmepos competitive bidding program number 3	Dmepos comp bid prgm no 3
900190	KV		Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service	Dmepos item, profession serv
900191	KW		Dmepos item subject to dmepos competitive bidding program number 4	Dmepos comp bid prgm no 4
900192	KX		Requirements specified in the medical policy have been met	Documentation on file
900193	KY		Dmepos item subject to dmepos competitive bidding program number 5	Dmepos comp bid prgm no 5
900194	KZ		New coverage not implemented by managed care	New cov not implement by m+c
900195	L1		Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps	Separately payable lab test
900196	LC		Left circumflex coronary artery	Lft circum coronary artery
900197	LD		Left anterior descending coronary artery	Left ant des coronary artery
900198	LL		Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price)	Lease/rental (appld to pur)
900199	LM		Left main coronary artery	Left main coronary artery
900200	LR		Laboratory round trip	Laboratory round trip
900201	LS		Fda-monitored intraocular lens implant	Fda-monitored iol implant
900202	LT		Left side (used to identify procedures performed on the left side of the body)	Left side
900203	M2		Medicare secondary payer (msp)	Medicare secondary payer
900204	MS		Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty	6-mo maint/svc fee parts/lbr
900205	NB		Nebulizer system, any type, fda-cleared for use with specific drug	Drug specific nebulizer
900206	NR		New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased)	New when rented
900207	NU		New equipment	New equipment
900208	P1		A normal healthy patient	Normal healthy patient
900209	P2		A patient with mild systemic disease	Patient w/mild syst disease
900210	P3		A patient with severe systemic disease	Patient w/severe sys disease
900211	P4		A patient with severe systemic disease that is a constant threat to life	Pt w/sev sys dis threat life
900212	P5		A moribund patient who is not expected to survive without the operation	Pt not expect surv w/o oper
900213	P6		A declared brain-dead patient whose organs are being removed for donor purposes	Brain-dead pt organs removed
900214	PA		Surgical or other invasive procedure on wrong body part	Surgery, wrong body part
900215	PB		Surgical or other invasive procedure on wrong patient	Surgery, wrong patient
900216	PC		Wrong surgery or other invasive procedure on patient	Wrong surgery on patient
900217	PD		Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days	Inp admit w/in 3 days
900218	PI		Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing	Pet tumor init tx strat
900219	PL		Progressive addition lenses	Progressive addition lenses
900220	PM		Post mortem	Post mortem
900221	PN		Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital	Non-excepted off-campus svc
900222	PO		Excepted service provided at an off-campus, outpatient, provider-based department of a hospital	Excepted off-campus service
900223	PS		Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy	Pet tumor subsq tx strategy
900224	PT		Colorectal cancer screening test; converted to diagnostic test or other procedure	Clrctal screen to diagn
900225	Q0		Investigational clinical service provided in a clinical research study that is in an approved clinical research study	Invest clinical research
900226	Q1		Routine clinical service provided in a clinical research study that is in an approved clinical research study	Routine clinical research
900227	Q2		Demonstration procedure/service	Demo procedure, service
900228	Q3		Live kidney donor surgery and related services	Live donor surgery/services
900229	Q4		Service for ordering/referring physician qualifies as a service exemption	Svc exempt - ordrg/rfrng md
900230	Q5		Service furnished under a reciprocal billing arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area	Recip bill arr subs md or pt
900231	Q6		Service furnished under a fee-for-time compensation arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area	Fee/time comp subst md or pt
900232	Q7		One class a finding	One class a finding
900233	Q8		Two class b findings	Two class b findings
900234	Q9		One class b and two class c findings	1 class b & 2 class c fndngs
900235	QA		Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is less than 1 liter per minute (lpm)	Avg sta day/night o2 < 1 lpm
900236	QB		Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts exceeds 4 liters per minute (lpm) and portable oxygen is prescribed	Avg day/nite o2 > 4 lpm/port
900237	QC		Single channel monitoring	Single channel monitoring
900238	QD		Recording and storage in solid state memory by a digital recorder	Rcrdg/strg in sld st memory
900239	QE		Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (lpm)	Stationary o2 @ rest <1 lpm
900240	QF		Prescribed amount of stationary oxygen while at rest exceeds 4 liters per minute (lpm) and portable oxygen is prescribed	Station o2 @ rest >4lpm/port
900241	QG		Prescribed amount of stationary oxygen while at rest is greater than 4 liters per minute (lpm)	Station o2 @ rest > 4 lpm
900242	QH		Oxygen conserving device is being used with an oxygen delivery system	Oxygen cnsrvg dvc w del sys
900243	QJ		Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)	Patient in state/locl custod
900244	QK		Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals	Med dir 2-4 cncrnt anes proc
900245	QL		Patient pronounced dead after ambulance called	Patient died after amb call
900246	QM		Ambulance service provided under arrangement by a provider of services	Ambulance arr by provider
900247	QN		Ambulance service furnished directly by a provider of services	Ambulance furn by provider
900248	QP		Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060.	Individually ordered lab tst
900249	QQ		Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional	Qualified cdsm consulted
900250	QR		Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (lpm)	Avg sta day/night o2 > 4 lpm
900251	QS		Monitored anesthesia care service	Monitored anesthesia care
900252	QT		Recording and storage on tape by an analog tape recorder	Rcrdg/strg tape analog recdr
900253	QW		Clia waived test	Clia waived test
900254	QX		Crna service: with medical direction by a physician	Crna svc w/ md med direction
900255	QY		Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist	Medically directed crna
900256	QZ		Crna service: without medical direction by a physician	Crna svc w/o med dir by md
900257	RA		Replacement of a dme, orthotic or prosthetic item	Replacement of dme item
900258	RB		Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair	Replacement part, dme item
900259	RC		Right coronary artery	Right coronary artery
900260	RD		Drug provided to beneficiary, but not administered "incident-to"	Drug admin not incident-to
900261	RE		Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems)	Furnish full compliance rems
900262	RI		Ramus intermedius coronary artery	Ramus intermedius cor artery
900263	RR		Rental (use the 'rr' modifier when dme is to be rented)	Rental (dme)
900264	RT		Right side (used to identify procedures performed on the right side of the body)	Right side
900265	SA		Nurse practitioner rendering service in collaboration with a physician	Nurse practitioner w physici
900266	SB		Nurse midwife	Nurse midwife
900267	SC		Medically necessary service or supply	Medically necessary serv/sup
900268	SD		Services provided by registered nurse with specialized, highly technical home infusion training	Serv by home infusion rn
900269	SE		State and/or federally-funded programs/services	State/fed funded program/ser
900270	SF		Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)	2nd opinion ordered by pro
900271	SG		Ambulatory surgical center (asc) facility service	Asc facility service
900272	SH		Second concurrently administered infusion therapy	2nd concurrent infusion ther
900273	SJ		Third or more concurrently administered infusion therapy	3rd concurrent infusion ther
900274	SK		Member of high risk population (use only with codes for immunization)	High risk population
900275	SL		State supplied vaccine	State supplied vaccine
900276	SM		Second surgical opinion	Second opinion
900277	SN		Third surgical opinion	Third opinion
900278	SQ		Item ordered by home health	Item ordered by home health
900279	SS		Home infusion services provided in the infusion suite of the iv therapy provider	Hit in infusion suite
900280	ST		Related to trauma or injury	Related to trauma or injury
900281	SU		Procedure performed in physician's office (to denote use of facility and equipment)	Performed in phys office
900282	SV		Pharmaceuticals delivered to patient's home but not utilized	Drugs delivered not used
900283	SW		Services provided by a certified diabetic educator	Serv by cert diab educator
900284	SY		Persons who are in close contact with member of high-risk population (use only with codes for immunization)	Contact w/high-risk pop
900285	SZ		Habilitative services	Habilitative services
900286	T1		Left foot, second digit	Left foot, second digit
900287	T2		Left foot, third digit	Left foot, third digit
900288	T3		Left foot, fourth digit	Left foot, fourth digit
900289	T4		Left foot, fifth digit	Left foot, fifth digit
900290	T5		Right foot, great toe	Right foot, great toe
900291	T6		Right foot, second digit	Right foot, second digit
900292	T7		Right foot, third digit	Right foot, third digit
900293	T8		Right foot, fourth digit	Right foot, fourth digit
900294	T9		Right foot, fifth digit	Right foot, fifth digit
900295	TA		Left foot, great toe	Left foot, great toe
900296	TB		Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes	Tracking 340b acquired drug
900297	TC		Technical component; under certain circumstances, a charge may be made for the technical component alone;under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles	Technical component
900298	TD		Rn	Rn
900299	TE		Lpn/lvn	Lpn/lvn
900300	TF		Intermediate level of care	Intermediate level of care
900301	TG		Complex/high tech level of care	Complex/high tech level care
900302	C9462		Injection, delafloxacin, 1 mg	Injection, delafloxacin
900303	TH		Obstetrical treatment/services, prenatal or postpartum	Ob tx/srvcs prenatl/postpart
900304	TJ		Program group, child and/or adolescent	Child/adolescent program gp
900305	TK		Extra patient or passenger, non-ambulance	Extra patient or passenger
900306	TL		Early intervention/individualized family service plan (ifsp)	Early intervention ifsp
900307	TM		Individualized education program (iep)	Individualized ed prgrm(iep)
900308	TN		Rural/outside providers' customary service area	Rural/out of service area
900309	TP		Medical transport, unloaded vehicle	Med transprt unloaded vehicl
900310	TQ		Basic life support transport by a volunteer ambulance provider	Bls by volunteer amb providr
900311	TR		School-based individualized education program (iep) services provided outside the public school district responsible for the student	School-based iep out of dist
900312	TS		Follow-up service	Follow-up service
900313	TT		Individualized service provided to more than one patient in same setting	Additional patient
900314	TU		Special payment rate, overtime	Overtime payment rate
900315	TV		Special payment rates, holidays/weekends	Holiday/weekend payment rate
900316	TW		Back-up equipment	Back-up equipment
900317	U1		Medicaid level of care 1, as defined by each state	M/caid care lev 1 state def
900318	U2		Medicaid level of care 2, as defined by each state	M/caid care lev 2 state def
900319	U3		Medicaid level of care 3, as defined by each state	M/caid care lev 3 state def
900320	U4		Medicaid level of care 4, as defined by each state	M/caid care lev 4 state def
900321	U5		Medicaid level of care 5, as defined by each state	M/caid care lev 5 state def
900322	U6		Medicaid level of care 6, as defined by each state	M/caid care lev 6 state def
900323	U7		Medicaid level of care 7, as defined by each state	M/caid care lev 7 state def
900324	U8		Medicaid level of care 8, as defined by each state	M/caid care lev 8 state def
900325	U9		Medicaid level of care 9, as defined by each state	M/caid care lev 9 state def
900326	UA		Medicaid level of care 10, as defined by each state	M/caid care lev 10 state def
900327	UB		Medicaid level of care 11, as defined by each state	M/caid care lev 11 state def
900328	UC		Medicaid level of care 12, as defined by each state	M/caid care lev 12 state def
900329	UD		Medicaid level of care 13, as defined by each state	M/caid care lev 13 state def
900330	UE		Used durable medical equipment	Used durable med equipment
900331	UF		Services provided in the morning	Services provided, morning
900332	UG		Services provided in the afternoon	Services provided, afternoon
900333	UH		Services provided in the evening	Services provided, evening
900334	UJ		Services provided at night	Services provided, night
900335	UK		Services provided on behalf of the client to someone other than the client (collateral relationship)	Svc on behalf client-collat
900336	UN		Two patients served	Two patients served
900337	UP		Three patients served	Three patients served
900338	UQ		Four patients served	Four patients served
900339	UR		Five patients served	Five patients served
900340	US		Six or more patients served	Six or more patients served
900341	V1		Demonstration modifier 1	Demonstration modifier 1
900342	V2		Demonstration modifier 2	Demonstration modifier 2
900343	V3		Demonstration modifier 3	Demonstration modifier 3
900344	V5		Vascular catheter (alone or with any other vascular access)	Vascular catheter
900345	V6		Arteriovenous graft (or other vascular access not including a vascular catheter)	Arteriovenous graft
900346	V7		Arteriovenous fistula only (in use with two needles)	Arteriovenous fistula
900347	V8		Infection present	Infection present
900348	V9		No infection present	No infection present
900349	VM		Medicare diabetes prevention program (mdpp) virtual make-up session	Mdpp virtual make-up session
900350	VP		Aphakic patient	Aphakic patient
